place_id,place_name,district,latitude,longitude,place_type,description,display_review,image_url,avg_rating
a44e3bfa-18c3-48fd-bff6-d066863913c8,Kelaniya Raja Maha Vihara,Colombo,6.9518227,79.9183929,"tourist_attraction, place_of_worship, point_of_interest, establishment","Sacred, historic temple said to be visited by the Buddha with paintings by a renowned artist.","A Sacred Treasure of Sri Lankan Buddhism
The Kelaniya Raja Maha Vihara is one of Sri Lanka's most ancient and revered Buddhist temples, constantly filled with devoted worshippers and curious visitors from around the world. This sacred site is not just a place of worship—it's a living masterpiece of art and history.
What makes this temple truly extraordinary are the stunning murals and hand-painted artworks that adorn its walls. These paintings showcase the unique style of Sri Lankan Buddhist art, created by master artists whose work has drawn admirers from across the globe. The intricate detail, vibrant colors, and spiritual storytelling in these murals are unlike anything you'll find elsewhere. Art enthusiasts and historians travel from far and wide specifically to witness these remarkable creations.
The temple grounds are always bustling with activity, but there's something magical about visiting in the evening. As the sun sets, the temple comes alive with a serene beauty—the soft lighting, the sound of evening prayers, and the peaceful atmosphere create an unforgettable experience.
What makes Kelaniya Raja Maha Vihara especially sacred is that it houses precious relics of Lord Buddha, enshrined within the temple's pagoda (dagoba). According to tradition, the Buddha himself visited this site during his third visit to Sri Lanka, making it one of the most significant pilgrimage sites for Buddhists.

Practical Tips for Visitors:
Don't forget to buy flowers to offer to the Buddha—there are plenty of flower vendors available near the parking area. The temple has ample parking space, but it's important to note: do not leave your valuables in the vehicle. It's highly recommended to carry your belongings with you or have someone stay with the vehicle for security.
Whether you're a devotee seeking spiritual solace or a traveler interested in culture and history, this temple offers a profound and beautiful experience. Highly recommended for anyone visiting Sri Lanka!",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AZLasHovvhvaeWdCEFG9eqAUcCAcdl1f1A_xljvOk5WhwS7hEdhDiYQoS-55iioT4sFrSzn_qydVvuqPsbTfVqdIWl7ZSEBZPu0YHg5DaC7EKmNvogL27fxyfCJ1RY-XoS9FJvIIsTh482PVHsjoc9KTlleesjFLEZ29O_jNUigeyO-gSsHC0_hRDxk1g8VwKy5b4981D8-OyZW2F3R8_TFzVa0pSfSLvMcJLL4PYD7HqL5pRxf8Y5kob0yHG6YasrUD8WFJVrKa6-jSvwbk_Fd06D2Kyw8J1dFvWwqefo0o4JP3Cp2NE2Nr2mgDIohtcIOtZvUcdbh3YNO7APf-5cfEV-q8z9CNNc7uh5Eusv8515oJb7OIGspodXmlTB18G8x-7BEJSBQDPdixru_9s_cDI_cMStRtTyqpY29u0PJpzZrN6qmCXesfWoRia0Qzq9U856HQcCKbs9lQ8EXEw0vpsSQ0EbtpoY2QjvCGa2fnHTavKFlD5uFxZT54Hue2re9k7u148rKqU17cSTMK8jkjxilrEkKNVPH7U7QElWeM6sBc_VppmZ8sXGYwg849vuSVfZoQgz_AlvdkLA&key=AIzaSyDPgpt69x2gPCN2K4Lza3PdMPSAHlo3gJ4,4.8
13fc4eda-a176-4dd0-a496-ecb1242900cc,Gangaramaya Temple,Colombo,6.9167486,79.85664530000000,"tourist_attraction, place_of_worship, point_of_interest, establishment","Historic Buddhist temple with a robust collection of artifacts & statues, plus vocational training.","I had one of the most emotional and meaningful experiences of my life at this temple. The moment I entered, the staff were incredibly kind and guided me patiently on how to pray at the sacred Bodhi tree and in front of the Buddha relics. They never asked for anything in return, everything they did was with sincerity and compassion.
While praying, I unexpectedly became emotional and even cried. The environment, the relics, and the peaceful atmosphere touched me deeply. Out of gratitude, I offered 200 rupees, but they never requested or hinted for any donation.
This temple is truly special. A place filled with honesty, warmth, and spiritual energy. Highly recommended for anyone seeking peace or a meaningful connection. Entrance fee at 500 rupee",https://www.trawell.in/admin/images/upload/151111298Srilanka_colombo_gangaramaya.jpg,4.6
6330cbf2-abe8-46b6-a58c-e12f0a6cd4d2,Seema Malaka,Colombo,6.9168768,79.85454560000000,"tourist_attraction, place_of_worship, point_of_interest, establishment",Serene Buddhist temple on floating platforms featuring numerous Buddha statues & airy shrines.,"Nestled peacefully on the waters of Beira Lake, Seema Malaka Temple is one of Colombo’s most picturesque and spiritual landmarks. 🙏🌸

Designed by renowned architect Geoffrey Bawa, the temple floats gracefully on platforms connected by bridges, surrounded by calm waters and lush greenery 🌿💧

The serene setting, adorned with statues of Lord Buddha ✨, intricate carvings, and traditional architecture, creates a perfect blend of beauty and spirituality. It’s not just a temple, but also a place for meditation 🧘, peace, and reflection. Visitors are enchanted by the lake views, gentle breezes, and the golden glow of the sunset over the temple 🌅💛

A visit to Seema Malaka is truly a calming and unforgettable experience, offering harmony for the soul and a glimpse into Sri Lanka’s timeless Buddhist heritage 🌺🕊️",https://upload.wikimedia.org/wikipedia/commons/a/a8/Seema_Malaka_temple.JPG,4.5
d87aa9b5-1a09-443a-81fa-2266b1919cd7,Independence Memorial Hall,Colombo,6.904202800000000,79.86763290000000,"tourist_attraction, point_of_interest, establishment",Square in front of Independence Memorial Hall featuring a fountain topped by a statue.,"A beautiful and peaceful public space in the heart of Colombo. The Independence Memorial Hall is the main highlight, with traditional stone pillars and a calm, elegant design. The surrounding garden area is perfect for jogging, cycling, walking, and relaxing. Very clean, well-maintained, and safe even in the evenings. Popular for photography and running.

What I like:
•	Wide walking and jogging tracks
•	Quiet and peaceful environment
•	Great for photos
•	Clean green spaces
•	Beautiful lighting at night",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5e/c6/b9/de-hal-gezien-vanaf-de.jpg?w=900&h=500&s=1,4.6
5897d781-338e-4dd8-aad3-4d8b1355e637,Colombo National Museum,Colombo,6.909992400000000,79.8609117,"tourist_attraction, museum, point_of_interest, establishment","Big, stately museum with royal objects & other artifacts relating to Sri Lanka's history & culture.","The Colombo National Museum is the largest and most important museum in Sri Lanka. It’s a great place to learn about the country’s history, culture, kings, and ancient kingdoms. The building itself is beautiful, with a classic white colonial design and peaceful garden outside.

What You Can See Inside ;
•	Royal treasures from the Kandyan Kingdom, including the crown and throne of the last king.
•	Ancient statues of Buddha and Hindu gods from Polonnaruwa, Anuradhapura, and other old cities.
•	Old weapons, masks, coins, and traditional tools that show how people lived long ago.
•	Paintings and carvings that tell stories from Sri Lanka’s past.

Experience ;
The museum is very calm and quiet. It takes about 1–2 hours to walk through slowly. The displays are well-organized, and most items have English descriptions.

Good for ;
Anyone who wants to understand Sri Lanka’s culture and history, including students, tourists, and locals.

Tips ;
•	Go in the morning to avoid crowds.
•	Photography is allowed in some areas but not everywhere.
•	There is a separate ticket for the Natural History Museum next door.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/7c/8a/e0/colombo-national-museum.jpg?w=900&h=-1&s=1,4.4
fd82800d-83e5-42d8-8ee6-ab419fe1a5e6,Jami Ul-Alfar Mosque (The Red Mosque),Colombo,6.93851,79.8516109,premise,Landmark long-standing mosque known for its striking red & white brick facade.,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a5/54/2c/the-mosque-is-a-blend.jpg?w=900&h=-1&s=1,4.6
b4724d21-7fa2-41f9-9c05-ea973c3788c3,Dutch Hospital Shopping Precinct,Colombo,6.9335201,79.8435129,"shopping_mall, point_of_interest, establishment","Upmarket stores & restaurants in a quaint, 17th-century Dutch colonial hospital with 2 courtyards.","We visited the Dutch Hospital Precinct with my wife and our 10-year-old child, and it was one of the most charming spots in Colombo! The colonial architecture is beautifully preserved, and the evening atmosphere was lively yet relaxing.

We had a wonderful meal at Ministry of Crab, which truly lived up to its reputation, and did some souvenir shopping at I ❤️ Sri Lanka. The area is compact but full of character — perfect for a leisurely walk, dining, and browsing local shops.

It was conveniently located right beside our hotel, and we loved watching the pigeons at the front entrance — a small but lovely touch that made the place feel alive.

Overall, a must-visit spot in Colombo for great food, shopping, and heritage charm, all in one place.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AZLasHqseevClNe3oyYNCsCGhnFEN7Zg0Bg_ujL0YTaNDK7bJXbD5hQSYHxFxP2nG-ntWwscycqPrCVXdQKc2oLAUDWCvuC5CJYCJ6qqJL6lZxmgYgniY1XJ3bGr8VjLHLp1RYx6xiTYyEmCHYxv971kk-tY3sC_B5F-wHme0RQeG3_tBiVd8-IXAr0Gj5M_xDsx_TPrd9yCvO7-U2aJWXr9YzMLKZtqoQ83Me_su_5ByXMy89sdFN0qd_ZsGj-aZDs5bN0p0COf7IGcDO-3vYB8nIxpOCQ1PHFD9pWJHRyPQJ-2-SJwUWO0BT7ZGKAcr-BxznTcRoJdgnqX7EhCGq_muuVnggn4MYgV4qBPS7zOpZAOuH40tw2fvdO26DiUvx5169oHCmxYxuSmFAS5nPYXxDphqx3xlmODnJNZRettM8_b3PsNzrpApvkUJRch9vlEF8rQcqsThKBak34dMHzx6U-QzunZ3T4Jtt7mWfRK1XUq6LUZkVhXHp-hz6g9txWizcQFHUcm1m6Vi4-iGE8APCVpLVKDjNaardAcjtMuY29Aj71JWb7TMifu40PtxS2c2I0tmNNB&key=AIzaSyDPgpt69x2gPCN2K4Lza3PdMPSAHlo3gJ4,4.4
121f10f7-bea8-434a-b901-ee0e925a6bdf,St. Lucia’s Cathedral,Colombo,6.9481737,79.86432170000000,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",This stately Roman Catholic cathedral completed in 1881 features many detailed statues of saints.,This is place you can feel the god. Most elegant church in sri lanka.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AZLasHrL9saMJjWtM_pG71Mgwa2NIBUZBJbPD8dNF6SNfHH34SKCt-5x32y9CAOpNysKuNa9PCWCxKhhYKAwoG628xbD1jWHNUKMEAioX82E1hpetJhrFZKjcnxIzFHPhbw8d9BYiJ6zyn0TkfyvfbZ05rV2ZySTQW54WodcpCKO055F1Big_TRu89yNHhTZSAfka7PIaNHs7dApssLwyaG_06XFCh-CKUi0lYiUPTbtAHIuKl_y4tKJ2q3tStKwNYGKPBmi5TYH2fD_wFIqXuOWu6kMW2Mu7E-95paDshjyXlhnhwS5FD0J-_EmHJsfGPG19VMZEpG2lRiF8hrSG7wXAyN04TTvsxE-KEEjjkIUId47uyDf7BZ64i821VDIteJLpZShcs4W0b0hhBLjsXhr9vjhlPtjtTwnz-if09ePsl4fdwcvjL06xlyydGj18Z6uYVms7CLYmsWk3u_WXGphyyx66gbHPjb0WhzhpdjCRGH8d45ym5y8tp1EL8GZLizs4mqcZp_Ox1vZ6VeiHXLXWahNbQYLDBd0ni6JKCZCxsYcnIYYCsvFQa9O-5C0OsF19b1ecW7T&key=AIzaSyDPgpt69x2gPCN2K4Lza3PdMPSAHlo3gJ4,4.7
fa079684-509a-4912-b49d-35c4abf0c067,Khan Clock Tower,Colombo,6.9371222,79.8492648,"tourist_attraction, point_of_interest, establishment","A prominent historical and cultural landmark located in Colombo, Sri Lanka.","The Khan Clock Tower is a famous landmark located where the Pettah main street connects. It's situated on a roundabout, surrounded by the busy areas and shops. The clock tower is hard to miss and adds to the charm of the area. It’s a great spot to stop, take a picture, and soak in the hustle and bustle of Pettah.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AZLasHo-Yt8R2Sc3fdt2DyxdTN9Guy-hW46YvKthL9nBjta23n6hVhX9QR16xbcc8h6INL4dDyxxl79lk4bW4hjhd8hb7GD43iv55P9AD0EYv3Cgoo6imD8xuFQeDBdDvh0ClXjMyO4pT2sOIfovTNRMoeN5IPziTYWZ1iZnIlsegLrDj_1LoI9ZkW2EJLYVammR_i-siRL-gW8QekBzoGVaOB5vAZeNeRWXtBDi7g2a6s_wXlTqnD40sN6kjouIhRLfQnbV00ztxZhQbTjYOV0qsbLr8A45JdHfxiLxX1f8acfniXBHCzfyVaSAKYNaErRaIvLAuPI-PSVXA2PP7zNqCokgkUWlK69DYzSv4qX5gnh9i6vV-su8QZQHs55PiDvhkKMvbJBU57XQVdrjVdEVDuo9JH7enJ9QlU9XeGGh2rRCaRyUL9WG0YL1sO1buh93bCkeG-ltFnVz54KlB9J0TYruZczSRaMDoxo0HY9xix2VBU7OXqaOzh9HcQaDgURPvtpb801OFPssQudspx3oyOilPdHBwRdVD7BvUUuyXz1_wN6gPAu4HWbbusq_My2pJxwrySdP&key=AIzaSyDPgpt69x2gPCN2K4Lza3PdMPSAHlo3gJ4,4.2
e89e14ac-0ba7-4521-879c-b12824b77acf,Wolvendaal Church,Colombo,6.9420848,79.859072,"tourist_attraction, church, place_of_worship, point_of_interest, establishment","Established by the Dutch in 1692, this Protestant church is the oldest in Sri Lanka.","The Christian Reformed Church of Sri Lanka is a beautiful and historic place, showcasing classic Dutch architecture. Though the church remains closed throughout the week and is not open for visitors inside, you can still admire its peaceful surroundings and elegant structure from the outside. A quick stop here is worth it if you're exploring the area and appreciate colonial-era buildings.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AZLasHqcjBXk9RpCKeVWx84FQxvhBl4xNVdX56H_ZdDFwnuE1fRJQT96I33y1ZcQOVCMK51f5PS_yj04roa8C8FcSKQcaq4qLMiomzg_ODPWghCQ_ctFrf1mKoq3icH2R3mcuUPZxASu1q9g1zn1tyBw-fScA_KxbBFZFeFwaLuhZVcUTOJmh7FofCqz5Zosfoutv8D4O-HEJLBwizVfKV2QBxhyoX31aKo4xETks52UTVtGAPGWjfUkDmMgVi1UpYX0s6Gg2Xy4l3unmyJ3vJIY1d5OXGv94QBNMirh-_Z1c7dkYZ7A0dILrwPUx5tkBGV-0XPMdtrO61u_4X2q7uFwEvaBwnGtb7kFsjRmtA8dDjRRWNsRweiujEj4MU5OYBrxpe3UoU4OGg8zPdkIlCe71O_sJFUuHNGGMfQFjvBB4p4Yu6efljC-g8ssDgticAdUbAXU6AeBXFf4vawdJF_vX6PzbEy1z7Znx0niboi7uV9OvG9TE8eqhTqtoCbad63XIHLm1uGVp1BURj_VJh-iPLQzv0p4LiJ8w_dKeJOoYEWg2fyvEbXtBEYMmyjXu7g8yZ75zQ&key=AIzaSyDPgpt69x2gPCN2K4Lza3PdMPSAHlo3gJ4,4.1
